"length","heigth","value","stock_id","id_assignment","id_job_type"
"18","30","1","9","967","1"
"32","35","1","9","962","2"
"30","20","1","9","979","1"
"60","27","1","9","980","1"
"30","20","1","9","984","1"
"25","35","1","9","978","1"
"30","25","1","9","978","1"
"54","32","1","9","982","1"
"28","26","1","9","983","1"
"45","15","1","9","983","1"
"30","15","1","9","983","1"
"43","41","1","9","983","1"
"40","30","1","9","988","1"
"30","20","1","9","987","1"
"28","20","1","9","989","1"
"32","30","1","9","990","3"
"30","20","1","9","993","1"
"55","40","1","9","994","1"
"50","30","1","9","995","1"
"30","20","1","9","996","1"
"30","20","1","9","997","1"
"42","30","1","9","999","1"
"60","40","1","9","999","1"
"30","20","1","9","1000","1"
"50","30","1","9","1002","1"
"25","40","1","9","1004","1"
"35","25","1","9","1006","1"
"15","15","1","9","1009","1"
"44","40","1","9","1013","1"
"30","20","1","9","1012","4"
"50","30","1","9","1020","1"
"40","40","1","9","1014","1"
"50","30","1","9","1017","2"
"60","40","1","9","1010","1"
"50","30","1","9","1007","1"
"40","18","1","9","1015","1"
"45","30","1","9","1018","1"
"50","30","1","9","1019","1"
"35","15","1","9","1022","1"
"40","30","1","9","1024","1"
"0","0","0","9","1026","1"
"50","30","1","9","1026","1"
"35","30","1","9","1029","1"
"28","20","1","9","1027","1"
"40","27","1","9","1027","1"
"0","0","0","9","1027","1"
"40","30","1","9","1035","1"
"30","35","1","9","1031","1"
"45","30","1","9","1033","1"
"55","40","1","9","1036","1"
"50","30","1","9","1025","1"
"40","30","1","9","1038","1"
"50","30","1","9","1028","1"
"60","40","1","9","1039","1"
"48","30","1","9","1023","1"
"45","30","1","9","1023","1"
"42","30","1","9","1023","1"
"15","10","1","9","1037","1"
"50","30","1","9","1042","2"
"47","30","1","9","1011","1"
"50","30","1","9","1043","1"
"30","20","1","9","1046","1"
"42","30","1","9","1045","1"
"45","30","1","9","1048","1"
"60","40","1","9","1041","2"
"50","30","1","9","1050","1"
"50","30","1","9","1049","1"
"50","30","1","9","1051","1"
"30","20","1","9","1047","1"
"30","30","1","9","1052","1"
"50","40","1","9","1030","2"
"57","40","1","9","1003","2"
"40","30","1","9","1056","1"
"40","30","1","9","1059","1"
"30","20","1","9","1021","2"
"45","30","1","9","1064","1"
"40","30","1","9","1066","1"
"30","20","1","9","1063","1"
"30","20","14","9","1061","1"
"15","35","1","9","1061","1"
"60","40","2","9","1061","1"
"50","30","1","9","1068","1"
"16","20","1","9","1062","1"
"50","30","1","9","1067","2"
"50","30","1","9","1055","2"
"42","30","1","9","1070","1"
"30","20","1","9","1057","1"
"27","50","1","9","1071","1"
"60","20","1","9","1072","1"
"30","35","1","9","1032","2"
"52","40","1","9","1073","2"
"60","40","1","9","1075","1"
"50","30","1","9","1077","1"
"20","15","1","9","1077","1"
"60","40","1","9","1078","1"
"40","30","1","9","1082","1"
"42","27","1","9","1079","1"
"60","40","1","9","1084","1"
"30","20","1","9","1083","1"
"30","20","1","9","1074","1"
"55","40","1","9","1074","1"
"20","15","1","9","1087","1"
"60","40","1","9","1076","2"
"36","60","1","9","1088","1"
"30","20","1","9","1088","1"
"10","15","1","9","1089","1"
"30","20","1","9","1080","1"
"60","40","1","9","1092","1"
"30","20","1","9","1092","1"
"15","20","1","9","1099","1"
"60","40","1","9","1098","1"
"10","10","1","9","1097","1"
"60","40","1","9","1102","4"
"43","30","1","9","1103","1"
"50","30","1","9","1090","1"
"30","40","1","9","1101","1"
"45","30","1","9","1085","1"
"27","20","1","9","1100","1"
"60","30","1","9","1093","1"
"45","53","82","9","1093","1"
"50","30","1","9","1096","1"
"25","20","1","9","1111","1"
"50","30","1","9","1106","1"
"50","30","1","9","1115","1"
"30","20","1","9","1126","1"
"45","30","1","9","1110","1"
"10","30","1","9","1108","1"
"60","40","1","9","1107","1"
"20","30","0","9","1112","2"
"18","25","1","9","1113","1"
"50","30","1","9","1130","1"
"30","20","1","9","1094","1"
"30","30","1","9","1118","1"
"40","30","1","9","1140","1"
"30","20","1","9","1114","1"
"50","30","1","9","1114","1"
"30","20","1","9","1131","1"
"60","40","1","9","1132","1"
"60","40","2","9","1121","1"
"26","20","1","9","1119","1"
"30","20","1","9","1133","1"
"28","20","1","9","1137","1"
"50","30","1","9","1129","1"
"30","20","1","9","1138","1"
"0","0","0","9","1138","1"
"30","20","1","9","1120","1"
"55","40","1","9","1120","1"
"30","20","1","9","1139","1"
"55","40","1","9","1139","1"
"50","30","1","9","1144","1"
"0","0","1","9","1146","3"
"0","0","1","9","1146","3"
"30","20","1","9","1148","1"
"30","20","1","9","1141","1"
"30","20","1","9","1150","1"
"30","20","1","9","1151","1"
"20","20","1","9","1151","1"
"50","30","1","9","1152","1"
"45","30","1","9","1154","1"
"25","15","1","9","1149","4"
"42","30","1","9","1155","1"
"30","20","1","9","1155","1"
"50","30","1","9","1162","1"
