"referral_id","carrier_id","auth_id"
"83","83","780"
"83","83","781"
"83","83","1047"
"83","83","1068"
"83","83","1069"
"83","83","1092"
"84","84","781"
"84","84","790"
"84","84","1047"
"84","84","1083"
"84","84","1126"
"85","85","781"
"85","85","790"
"85","85","1015"
"85","85","1047"
"85","85","1083"
"85","85","1112"
"86","86","781"
"86","86","790"
"86","86","1047"
"86","86","1112"
"86","86","1126"
"88","88","781"
"88","88","790"
"88","88","1047"
"88","88","1072"
"89","89","781"
"89","89","1011"
"89","89","1012"
"89","89","1047"
"89","89","1071"
"89","89","1083"
"89","89","1084"
"89","89","1090"
"89","89","1112"
"89","89","1143"
"91","91","780"
"91","91","781"
"91","91","1047"
"91","91","1071"
"91","91","1083"
"91","91","1126"
"93","93","780"
"93","93","781"
"93","93","1047"
"93","93","1126"
"95","95","780"
"95","95","781"
"95","95","1047"
"96","96","780"
"96","96","781"
"96","96","1047"
"97","97","780"
"97","97","781"
"97","97","1047"
"98","98","780"
"98","98","781"
"98","98","1047"
"99","99","780"
"99","99","781"
"99","99","1047"
"100","100","780"
"100","100","781"
"100","100","1047"
"101","101","780"
"101","101","781"
"101","101","1047"
"101","101","1126"
"102","102","780"
"102","102","781"
"102","102","1047"
"103","103","780"
"103","103","781"
"103","103","1047"
"104","104","780"
"104","104","781"
"104","104","1047"
"108","108","780"
"108","108","781"
"108","108","1047"
"114","114","780"
"115","115","780"
"115","115","781"
"115","115","1047"
"118","118","780"
"118","118","781"
"118","118","1047"
"120","120","780"
"122","122","780"
"122","122","781"
"122","122","1047"
"124","124","780"
"124","124","781"
"124","124","1014"
"124","124","1047"
"126","126","1000"
"126","126","1048"
"127","127","780"
"127","127","781"
"127","127","1047"
"128","128","780"
"128","128","781"
"128","128","1014"
"128","128","1047"
"129","129","780"
"129","129","781"
"129","129","1047"
"130","130","780"
"130","130","781"
"130","130","1047"
"131","131","780"
"131","131","781"
"132","132","1014"
"133","133","1014"
"136","136","780"
"136","136","781"
"136","136","1047"
"137","137","780"
"137","137","781"
"137","137","1014"
"137","137","1047"
"138","138","780"
"138","138","781"
"138","138","1047"
"139","139","780"
"139","139","781"
"139","139","1047"
"140","140","780"
"140","140","781"
"140","140","1015"
"140","140","1016"
"140","140","1047"
"140","140","1087"
"140","140","1089"
"140","140","1112"
"142","142","1013"
"144","144","781"
"144","144","790"
"144","144","1047"
"144","144","1074"
"144","144","1077"
"145","145","1000"
"145","145","1011"
"145","145","1012"
"145","145","1015"
"145","145","1020"
"145","145","1028"
"145","145","1051"
"145","145","1052"
"145","145","1059"
"145","145","1089"
"145","145","1090"
"145","145","1106"
"145","145","1113"
"146","146","1000"
"146","146","1017"
"146","146","1018"
"146","146","1019"
"146","146","1020"
"146","146","1028"
"146","146","1065"
"146","146","1090"
"146","146","1100"
"147","147","780"
"147","147","781"
"147","147","1047"
"148","148","780"
"148","148","781"
"148","148","1047"
"149","149","1020"
"149","149","1028"
"149","149","1039"
"149","149","1040"
"149","149","1041"
"149","149","1090"
"150","150","780"
"150","150","1063"
"150","150","1068"
"150","150","1069"
"154","154","780"
"154","154","781"
"154","154","1047"
"156","156","780"
"156","156","781"
"156","156","1047"
"157","157","780"
"157","157","781"
"157","157","1047"
"162","162","1007"
"162","162","1011"
"162","162","1012"
"162","162","1042"
"162","162","1043"
"162","162","1044"
"162","162","1045"
"164","164","780"
"164","164","781"
"164","164","1047"
"164","164","1126"
"165","165","780"
"165","165","781"
"165","165","1047"
"166","166","780"
"166","166","781"
"166","166","1047"
"167","167","780"
"167","167","781"
"167","167","1047"
"169","169","780"
"169","169","781"
"169","169","1047"
"170","170","780"
"170","170","781"
"170","170","1047"
"171","171","781"
"171","171","790"
"171","171","1028"
"171","171","1047"
"171","171","1083"
"171","171","1112"
"171","171","1143"
"173","173","1011"
"173","173","1012"
"174","174","780"
"174","174","781"
"174","174","1009"
"174","174","1047"
"174","174","1073"
"174","174","1074"
"174","174","1077"
"174","174","1080"
"174","174","1085"
"174","174","1086"
"174","174","1090"
"174","174","1095"
