"assignment_id","job_type"
"30742","1"
"30741","1"
"30740","2"
"30739","1"
"30738","1"
"30737","2"
"30736","2"
"30735","1"
"30734","1"
"30733","1"
"30732","2"
"30731","1"
"30730","1"
"30729","1"
"30728","1"
"30727","2"
"30726","1"
"30725","1"
"30724","1"
"30723","1,12"
"30722","3"
"30721","4"
"30720","2"
"30719","1"
"30718","1"
"30717","1"
"30716","1"
"30715","1"
"30714","11"
"30713","1"
"30712","11"
"30711","1"
"30710","1"
"30709","8"
"30708","3"
"30707","7"
"30706","3"
"30705","1"
"30704","1"
"30703","11"
"30702","1"
"30701","1,11"
"30700","1"
"30699","1"
"30698","1"
"30697","1"
"30696","1"
"30695","1"
"30694","1"
"30693","1"
"30692","1"
"30691","3"
"30690","2"
"30689","1,12"
"30688","1"
"30687","1"
"30686","1"
"30685","1"
"30684","1"
"30683","1"
"30682","1"
"30681","1"
"30680","3"
"30679","1"
"30678","1"
"30677","2"
"30676","1"
"30675","1,11"
"30674","3"
"30673","1"
"30672","1"
"30671","1"
"30670","1"
"30669","1"
"30668","1"
"30667","1"
"30666","1"
"30665","1"
"30664","1,11"
"30663","2"
"30662","1"
"30661","1"
"30660","1"
"30659","1,12"
"30658","1"
"30657","1"
"30655","1"
"30654","1"
"30653","1"
"30652","1"
"30651","1"
"30650","3"
"30649","1"
"30648","1"
"30647","1"
"30646","1"
"30645","1"
"30644","1"
"30643","1"
"30642","1"
"30641","1"
"30640","1"
"30639","1"
"30638","1"
"30637","1"
"30636","1"
"30635","1"
"30634","1"
"30633","2"
"30632","1"
"30631","1"
"30630","1"
"30629","1"
"30628","1"
"30627","1"
"30626","1"
"30625","1"
"30624","1"
"30623","1"
"30622","1"
"30621","2"
"30620","1"
"30619","1"
"30618","2"
"30617","11"
"30616","3"
"30615","1"
"30614","1"
"30613","1"
"30612","1"
"30611","1"
"30610","1"
"30609","1"
"30608","1"
"30607","1"
"30606","2,7"
"30605","1,11"
"30604","1"
"30603","1"
"30602","1"
"30601","1"
"30600","1"
"30599","1"
"30598","1"
"30597","1"
"30596","1"
"30595","3"
"30594","1"
"30593","1"
"30592","1"
"30591","1"
"30590","1"
"30589","1"
"30588","1"
"30587","2"
"30586","1"
"30585","3"
"30584","3"
"30583","3"
"30582","3"
"30581","3"
"30580","1"
"30579","3"
"30578","3"
"30577","3"
"30576","3"
"30575","3"
"30574","3"
"30573","3"
"30572","1"
"30571","1"
"30570","1"
"30569","2,7"
"30568","1"
"30567","1"
"30566","1"
"30565","1"
"30564","2"
"30563","2"
"30562","1"
"30561","1"
"30560","1"
"30559","1"
"30558","2"
"30557","1"
"30556","1"
"30555","3"
"30554","1"
"30553","1,11"
"30552","1"
"30551","1"
"30550","1"
"30549","1"
"30548","1"
"30547","1"
"30546","1"
"30545","11"
"30544","11"
"30543","1"
"30542","2"
"30541","1"
"30540","1"
"30539","11"
"30538","3"
"30537","1,11"
"30536","1"
"30535","1"
"30534","1,11"
"30533","1"
"30532","1"
"30531","1"
"30530","1"
"30529","1"
"30528","1"
"30527","1,11"
"30526","1"
"30525","1"
"30524","1"
"30523","1"
"30522","1"
"30521","1"
"30520","1"
"30519","1"
"30518","1"
"30517","1"
"30516","1"
"30515","1"
"30514","1"
"30513","1"
"30512","1,11"
"30511","1"
"30510","1"
"30509","1"
"30508","1"
"30507","3"
"30506","1"
"30505","2"
"30504","3"
"30503","1"
"30502","1"
"30501","1"
"30500","7"
"30499","1"
"30498","1"
"30497","1"
"30496","2"
"30495","3"
"30494","7"
"30493","1"
"30492","1"
"30491","1"
"30490","1"
"30489","1"
"30488","1"
"30487","1,11"
"30486","1"
"30485","11"
"30484","1"
"30483","1"
"30482","1"
"30481","1"
"30480","11"
"30479","1"
"30478","1"
"30477","2,7"
"30476","1"
"30475","1,11"
"30474","1"
"30473","1"
"30472","1"
"30471","1"
"30470","3"
"30469","1"
"30468","1"
"30467","1"
"30466","3"
"30465","11"
"30464","1"
"30463","1"
"30462","1"
"30461","1"
"30460","11"
"30459","2"
"30458","1"
"30457","2"
"30456","1"
"30455","1"
"30454","1"
"30453","1"
"30452","1"
"30451","1"
"30450","1"
"30449","1"
"30448","11"
"30447","1"
"30446","2"
"30445","7"
"30444","1"
"30443","1"
"30442","7"
"30441","1"
"30440","1,11"
"30439","2"
"30438","1"
"30437","1"
"30436","1"
"30435","1"
"30434","1,12"
"30433","1"
"30432","2"
"30431","8"
"30430","1,12"
"30429","1"
"30428","1"
"30427","2"
"30426","1,11"
"30425","1,11"
"30424","1"
"30423","1"
"30422","8"
"30421","7"
"30420","2"
"30419","1"
"30418","2"
"30417","2"
"30416","11"
"30415","1"
"30414","7"
"30413","1"
"30412","1"
"30411","1"
"30410","7"
"30409","1"
"30408","1"
"30407","8"
"30406","1"
"30405","1"
"30404","1"
"30403","1"
"30402","1"
"30401","2"
"30400","1,11"
"30399","1,8"
"30398","1"
"30397","1"
"30396","1"
"30395","11"
"30394","1"
"30393","1"
"30392","1"
"30391","1"
"30390","1"
"30389","1"
"30388","1"
"30387","1"
"30386","2"
"30385","11"
"30384","1"
"30383","1"
"30382","2"
"30381","1"
"30380","1"
"30377","1,8"
"30375","1"
"30374","2"
"30373","1"
"30372","1"
"30371","1,11"
"30370","1"
"30369","1"
"30368","1,8"
"30367","1"
"30366","1"
"30365","1"
"30364","1"
"30363","1"
"30362","1"
"30361","1"
"30360","1"
"30359","1"
"30358","1"
"30357","1"
"30355","1"
"30354","1"
"30353","1"
"30352","1"
"30351","1"
"30350","1"
"30349","1"
"30348","1"
"30347","3"
"30346","4"
"30345","1"
"30344","1"
"30343","1"
"30342","1"
"30341","1"
"30340","1"
"30339","1"
"30338","1"
"30337","1"
"30336","1"
"30335","1"
"30334","1"
"30333","3"
"30332","1"
"30331","2"
"30330","1"
"30329","7"
"30328","1"
"30327","1"
"30326","1"
"30325","1"
"30324","1"
"30323","3"
"30322","1,11"
"30321","4"
"30320","1"
"30319","1"
"30318","1"
"30317","1"
"30316","1"
"30315","3"
"30314","1,11"
"30313","1"
"30312","1"
"30311","1"
"30310","1"
"30309","1"
"30308","2"
"30307","3"
"30306","3"
"30305","3"
"30304","1"
"30303","1"
"30302","8"
"30301","1"
"30299","1"
"30298","1"
"30297","1"
"30296","1,8"
"30295","1"
"30294","1"
"30293","2"
"30292","1,11"
"30291","1"
"30290","1"
"30289","1"
"30288","1"
"30287","3"
"30286","1"
"30285","8"
"30284","1"
"30283","1"
"30282","1"
"30281","1"
"30280","1,8"
"30279","1"
