"assignment_id","id","created_by","updated_by","start_date","end_date"
"7368","8","73","73","2021-3-25 12:30:00","2021-3-25 13:30:00"
"7369","10","73","73","2021-3-23 16:00:00","2021-3-23 17:00:00"
"7370","24","73","73","2021-4-2 10:00:00","2021-4-2 11:00:00"
"7372","19","73","73","2021-3-25 11:00:00","2021-3-25 12:00:00"
"7373","10","73","73","2021-3-25 14:00:00","2021-3-25 15:00:00"
"7374","10","73","73","2021-3-25 15:00:00","2021-3-25 16:00:00"
"7375","10","73","73","2021-3-26 13:00:00","2021-3-26 14:00:00"
"7376","24","73","73","2021-3-28 12:00:00","2021-3-28 13:00:00"
"7377","24","73","73","2021-3-28 15:00:00","2021-3-28 16:00:00"
"7379","24","73","73","2021-3-30 11:00:00","2021-3-30 12:00:00"
"7380","24","73","73","2021-3-30 15:00:00","2021-3-30 16:00:00"
"7382","8","73","73","2021-4-1 09:00:00","2021-4-1 10:00:00"
"7383","24","73","73","2021-4-1 11:00:00","2021-4-1 12:00:00"
"7384","9","73","73","2021-4-13 09:00:00","2021-4-13 10:00:00"
"7385","31","73","73","2021-4-2 10:00:00","2021-4-2 11:00:00"
"7386","8","73","73","2021-4-1 16:30:00","2021-4-1 17:30:00"
"7387","8","73","73","2021-4-6 14:00:00","2021-4-6 15:00:00"
"7388","35","73","73","2021-4-6 11:00:00","2021-4-6 12:00:00"
"7389","8","73","73","2021-4-5 13:00:00","2021-4-5 14:00:00"
"7390","24","73","73","2021-4-2 15:00:00","2021-4-2 16:00:00"
"7391","10","73","73","2021-4-29 13:00:00","2021-4-29 14:00:00"
"7393","8","73","73","2021-4-3 09:00:00","2021-4-3 10:00:00"
"7394","35","73","73","2021-4-5 10:00:00","2021-4-5 11:00:00"
"7395","8","73","73","2021-4-6 09:00:00","2021-4-6 10:00:00"
"7396","35","73","73","2021-4-7 09:00:00","2021-4-7 10:00:00"
"7397","8","73","73","2021-4-7 11:00:00","2021-4-7 12:00:00"
"7398","31","73","73","2021-4-22 12:00:00","2021-4-22 13:00:00"
"7399","8","73","73","2021-4-6 17:00:00","2021-4-6 18:00:00"
"7401","8","73","73","2021-4-14 14:00:00","2021-4-14 15:00:00"
"7402","31","73","73","2021-4-8 13:00:00","2021-4-8 14:00:00"
"7403","8","73","73","2021-4-8 14:30:00","2021-4-8 15:30:00"
"7404","31","73","73","2021-4-8 18:00:00","2021-4-8 19:00:00"
"7405","35","73","73","2021-4-9 14:00:00","2021-4-9 15:00:00"
"7407","35","73","73","2021-4-9 16:30:00","2021-4-9 17:30:00"
"7408","31","73","73","2021-4-11 08:00:00","2021-4-11 09:00:00"
"7409","31","73","73","2021-4-9 14:30:00","2021-4-9 15:30:00"
"7410","10","73","73","2021-4-10 01:00:00","2021-4-10 02:00:00"
"7411","31","73","73","2021-4-10 14:30:00","2021-4-10 15:30:00"
"7412","31","73","73","2021-4-10 14:00:00","2021-4-10 15:00:00"
"7413","34","73","73","2021-4-12 07:00:00","2021-4-12 08:00:00"
"7414","10","73","73","2021-4-10 16:00:00","2021-4-10 17:00:00"
"7415","34","73","73","2021-4-11 10:00:00","2021-4-11 11:00:00"
"7416","31","73","73","2021-4-10 18:30:00","2021-4-10 19:30:00"
"7417","31","73","73","2021-4-11 12:00:00","2021-4-11 13:00:00"
"7418","10","73","73","2021-4-11 17:00:00","2021-4-11 18:00:00"
"7419","8","73","73","2021-4-12 08:00:00","2021-4-12 09:00:00"
"7420","35","73","73","2021-4-11 17:00:00","2021-4-11 18:00:00"
"7421","34","73","73","2021-4-12 08:00:00","2021-4-12 09:00:00"
"7422","9","73","73","2021-4-12 09:00:00","2021-4-12 10:00:00"
"7423","34","73","73","2021-4-12 12:00:00","2021-4-12 13:00:00"
"7425","34","73","73","2021-4-12 15:00:00","2021-4-12 16:00:00"
"7426","8","73","73","2021-4-12 08:00:00","2021-4-12 09:00:00"
"7427","9","73","73","2021-4-12 13:00:00","2021-4-12 14:00:00"
"7428","8","73","73","2021-4-12 09:00:00","2021-4-12 10:00:00"
"7429","35","73","73","2021-4-12 14:00:00","2021-4-12 15:00:00"
"7431","10","73","73","2021-4-13 08:00:00","2021-4-13 09:00:00"
"7432","34","73","73","2021-4-12 14:00:00","2021-4-12 15:00:00"
"7433","9","73","73","2021-4-12 14:00:00","2021-4-12 15:00:00"
"7435","8","73","73","2021-4-12 12:00:00","2021-4-12 13:00:00"
"7437","10","73","73","2021-4-13 07:00:00","2021-4-13 08:00:00"
"7438","8","73","73","2021-4-12 15:00:00","2021-4-12 16:00:00"
"7439","31","73","73","2021-4-12 11:00:00","2021-4-12 12:00:00"
"7440","10","73","73","2021-4-12 13:30:00","2021-4-12 14:30:00"
"7441","1","73","73","2021-4-12 15:00:00","2021-4-12 16:00:00"
"7442","9","73","73","2021-4-13 12:00:00","2021-4-13 13:00:00"
"7443","8","73","73","2021-4-13 19:00:00","2021-4-13 20:00:00"
