"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"1931"	"7"	"73"	"73"	"2020-3-25 09:00:00"	"2020-3-25 10:00:00"
"1932"	"1"	"73"	"73"	"2020-3-25 09:00:00"	"2020-3-25 10:00:00"
"1933"	"15"	"73"	"73"	"2020-3-26 10:00:00"	"2020-3-26 11:00:00"
"1934"	"15"	"73"	"73"	"2020-3-27 11:30:00"	"2020-3-27 12:30:00"
"1935"	"7"	"73"	"73"	"2020-3-26 09:30:00"	"2020-3-26 10:30:00"
"1936"	"15"	"73"	"73"	"2020-3-26 13:00:00"	"2020-3-26 14:00:00"
"1937"	"15"	"73"	"73"	"2020-3-30 11:30:00"	"2020-3-30 12:30:00"
"1938"	"15"	"73"	"73"	"2020-3-27 14:00:00"	"2020-3-27 15:00:00"
"1939"	"15"	"73"	"73"	"2020-4-1 10:30:00"	"2020-4-1 11:30:00"
"1941"	"15"	"73"	"73"	"2020-3-27 16:00:00"	"2020-3-27 17:00:00"
"1942"	"15"	"73"	"73"	"2020-3-30 10:00:00"	"2020-3-30 11:00:00"
"1943"	"15"	"73"	"73"	"2020-3-30 10:00:00"	"2020-3-30 11:00:00"
"1944"	"15"	"73"	"73"	"2020-3-31 10:00:00"	"2020-3-31 11:00:00"
"1946"	"7"	"73"	"73"	"2020-4-3 09:00:00"	"2020-4-3 10:00:00"
"1948"	"6"	"73"	"73"	"2020-4-2 14:00:00"	"2020-4-2 15:00:00"
"1949"	"15"	"73"	"73"	"2020-4-8 12:00:00"	"2020-4-8 13:00:00"
"1950"	"15"	"73"	"73"	"2020-4-1 15:00:00"	"2020-4-1 16:00:00"
"1951"	"7"	"73"	"73"	"2020-4-1 13:00:00"	"2020-4-1 14:00:00"
"1952"	"15"	"73"	"73"	"2020-4-1 17:00:00"	"2020-4-1 18:00:00"
"1953"	"6"	"73"	"73"	"2020-4-7 10:00:00"	"2020-4-7 11:00:00"
"1954"	"15"	"73"	"73"	"2020-4-2 10:00:00"	"2020-4-2 11:00:00"
"1955"	"7"	"73"	"73"	"2020-4-2 10:00:00"	"2020-4-2 11:00:00"
"1956"	"7"	"73"	"73"	"2020-4-2 11:00:00"	"2020-4-2 12:00:00"
"1958"	"6"	"73"	"73"	"2020-4-2 08:00:00"	"2020-4-2 09:00:00"
"1959"	"6"	"73"	"73"	"2020-4-3 02:30:00"	"2020-4-3 03:30:00"
"1960"	"7"	"73"	"73"	"2020-4-7 10:00:00"	"2020-4-7 11:00:00"
"1961"	"15"	"73"	"73"	"2020-4-4 22:00:00"	"2020-4-4 23:00:00"
"1962"	"7"	"73"	"73"	"2020-4-6 09:00:00"	"2020-4-6 10:00:00"
"1963"	"7"	"73"	"73"	"2020-4-6 12:00:00"	"2020-4-6 13:00:00"
"1964"	"7"	"73"	"73"	"2020-4-7 14:00:00"	"2020-4-7 15:00:00"
"1965"	"7"	"73"	"73"	"2020-4-6 15:00:00"	"2020-4-6 16:00:00"
"1966"	"15"	"73"	"73"	"2020-4-7 14:00:00"	"2020-4-7 15:00:00"
"1967"	"15"	"73"	"73"	"2020-4-7 10:00:00"	"2020-4-7 11:00:00"
"1968"	"15"	"73"	"73"	"2020-4-7 07:30:00"	"2020-4-7 08:30:00"
