"id_assignment","id_job_type","report"
"7743","1","27,34,"
"7741","1","27,34,"
"7741","8","27,34,"
"7745","1","4,30,"
"7747","1","15,26,"
"7745","8","4,30,"
"7735","1","31,32,"
"7735","11","16,31,32,"
"7748","11","4,30,"
"7749","1","15,26,"
"7752","1","15,26,"
"7757","1","15,26,"
"7755","1","20,30,"
"7758","1","20,30,"
"7751","1","27,34,"
"7756","1","20,30,"
"7759","1","1,31,"
"7753","3","20,30,"
"7762","1","32,34,"
"7751","8","27,34,"
"7763","1","20,30,"
"7760","1","32,34,"
"7746","7","32,34,"
"7764","1","32,34,"
"7765","2","4,26,"
"7766","1","1,31,"
"7773","1","20,30,"
"7767","1","32,34,"
"7771","1","1,31,"
"7673","2","21,26,"
"7770","1","30,"
"7774","7","1,31,"
"7774","7","1,31,"
"7777","1","4,27,"
"7769","2","32,34,"
"7778","11","32,34,"
"7772","2","21,27,"
"7781","1","21,27,"
"7775","1","1,31,"
"7779","1","20,30,"
"7789","1","1,31,"
"7784","1","20,30,"
"7780","1","32,34,"
"7794","1","27,35,"
"7793","1","27,35,"
"7791","1","32,34,"
"7796","1","27,35,"
"7786","1","27,35,"
"7798","1","32,34,"
"7800","1","20,30,"
"7792","1","27,35,"
"7787","1","32,34,"
"7802","3","4,26,"
"7803","1","20,30,"
"7785","1","32,34,"
"7785","8","32,34,"
"7805","1","4,29,"
"7797","1","1,15,21,27,32,34,35,"
"7807","2","20,30,"
"7804","1","1,15,21,27,31,32,35,"
"7797","11","1,15,21,27,31,32,34,35,"
"7804","11","1,15,21,27,31,32,35,"
"7809","1","20,30,"
"7811","1","4,26,"
"7817","1","4,26,"
"7813","2","31,32,"
"7819","1","31,32,"
"7814","1","20,30,"
"7826","1","31,32,"
"7828","8","31,32,"
"7827","1","31,32,"
"7825","2","21,27,"
"7832","1","4,21,"
"7834","1","4,21,"
"7837","1","4,21,"
"7836","1","4,21,"
"7831","11","30,"
"7831","1","30,"
"7830","1","31,32,"
"7830","11","31,32,"
"7835","1","31,32,"
"7839","1","4,21,"
"7823","7","31,32,"
"7840","1","4,21,"
"7846","1","15,20,"
"7841","1","4,21,"
"7848","1","30,43,"
"7842","1","26,27,35,"
"7850","1","4,21,"
"7849","1","30,43,"
"7852","1","4,21,"
"7822","7","16,20,26,"
"7857","1","20,26,"
"7862","1","20,26,"
"7838","11","27,31,32,35,"
"7838","1","27,31,32,35,"
"7860","1","4,21,"
"7863","1","4,21,"
"7851","1","30,43,"
"7865","1","27,35,"
"7867","1","31,32,"
"7870","1","31,32,"
"7868","1","1,15,"
"7878","1","1,15,"
"7877","1","16,20,26,"
"7864","1","16,20,26,"
"7881","1","4,21,"
"7875","1","4,21,"
"7883","1","16,20,26,"
"7873","1","27,35,"
"7882","1","27,35,"
"7869","1","30,43,"
"7885","1","4,21,"
"7884","1","21,26,"
"7888","1","27,35,"
"7829","2","4,20,"
"7892","1","21,26,"
"7890","1","27,35,"
"7887","1","4,20"
"7895","1","4,26,"
"7894","1","27,35,"
"7903","1","27,35,"
"7891","1","30,43,"
"7898","1","4,26,"
"7897","1","4,20,"
"7896","1","30,43,"
"7905","2","20,21,"
"7904","1","4,26,"
"7907","3","27,35,"
"7880","7","23,26,"
"7879","7","27,35,"
"7847","2","31,32,"
"7899","1","30,43,"
"7914","1","27,35,"
"7906","1","20,21,"
"7911","1","1,4,"
"7919","1","30,43,"
"7920","1","27,35,"
"7913","1","23,26"
"7912","1","16,27,32,"
"7922","1","20,21,"
"7921","1","16,27,32,"
"7926","1","15,31,35"
"7918","1","30,43,"
"7927","1","1,4,15,31,35"
"7923","1","20,21,"
"7929","1","1,4,15,31,35,"
"7930","1","15,31,35,"
"7932","1","1,4,15,31,35,"
"7876","1","30,43,"
"7924","1","28,"
"7909","1","16,27,31,32,"
"7909","11","16,27,31,32,"
"7933","1","28,"
"7915","1","23,26,"
"7938","1","1,15,"
"7935","1","4,43,"
"7936","8","28,"
"7893","2","28,"
"7939","1","30,43,"
"7942","1","23,26,"
"7945","1","30,43,"
"7949","1","1,4,15,31,35,"
"7931","11","1,4,15,30,31,32,"
"7944","1","28,"
"7925","1","16,27,32,"
"7937","1","4,43"
"7916","7","28,"
"7925","8","16,27,32,"
"7946","1","27,29,"
"7946","11","27,29,"
"7947","1","23,26,"
"7941","2","30,43,"
"7948","1","28,"
"7955","1","27,29,"
"7954","1","20,21,"
"7960","1","27,29,"
"7953","1","20,21,"
"7961","1","1,15,35,"
"7943","2","30,43,"
"7958","1","4,31,32"
"7968","1","30,43,"
"7951","1","4,32,35,"
"7950","1","28,"
"7871","7","27,29,"
"7963","1","20,21,"
"7965","2","31,35,"
"7957","2","31,35,"
"7952","2","28,"
"7964","1","20,21,"
"7972","1","28,"
"7982","1","30,43,"
"7983","1","28,"
"7969","1","31,35,"
"7989","1","20,21,"
"7990","1","28,"
"7997","1","20,21,"
"7993","1","28,"
"7971","4","27,29,"
"7988","1","30,43,"
"7994","1","28,"
"7992","1","23,35,"
"8002","8","27,29,"
"8006","1","20,21,"
"8004","1","30,43,"
"7980","11","1,15,16,30,43,"
"7980","1","1,15,16,"
"7979","2","23,27,"
"7995","1","23,35,"
"8010","1","28"
"8005","1","23,27,"
"8021","1","1,4,15,"
"7973","2","23,27,"
"8022","1","20,21,"
"8023","1","26,35,"
"8024","1","1,4,15,"
"7975","2","30,43,"
"8015","1","28"
"8026","1","31,32,"
"8029","1","1,4,15,"
"7998","2","30,43,"
"8027","8","23,27,"
"8009","1","26,35,"
"8003","1","20,21,"
"7974","11","4,23,26,32,"
"7991","11","1,4,15,32,35,"
"7991","1","1,15,"
"8000","8","30,43,"
"8014","1","23,27,29"
"8033","1","1,4,"
"8013","1","28"
"8036","8","26,35,"
"8017","1","20,21,"
"8025","1","20,21,"
"8020","1","28,"
"8031","1","1,4,"
"8030","1","30,43,"
"8028","1","26,35,"
"8037","1","28"
"8038","1","28,"
"8039","1","28,"
"8016","1","1,4,15,16,31,32,"
"8040","1","28,"
"7967","11","4,16,23,26,31,32,"
"7967","1","4,23,26,32,"
"8032","1","1,4,"
"8016","11","1,4,15,31,32,"
"8001","1","23,27,"
"8052","1","28,"
"8044","1","30,43,"
"8054","1","16,31,32,"
"8045","1","16,31,32,"
"8042","2","28,"
"8048","1","30,43,"
"8056","3","4,21,"
"8061","1","4,21,"
"8064","1","20,23,"
"8067","1","21,27,"
"8063","1","26,35,"
"8059","11","1,4,16,31,32,"
"8041","7","15,"
"8070","2","20,23,"
"8075","1","16,31,32,"
"8071","1","26,35,"
"8076","1","1,4,"
"8068","1","20,23"
"8069","1","21,27,"
"8081","1","20,23,"
"8077","1","1,4,"
"8078","1","26,35,"
"8073","1","21,27,"
"8084","1","31,32,"
"8074","1","21,27,"
"8079","1","1,4,"
"8088","1","23,"
"8086","1","26,35,"
"8047","2","21,27,"
"8049","2","16,20,"
"8083","1","1,4,"
"8091","1","1,4,"
"7981","2","31,32,"
"8093","1","23,"
"8094","1","21,27,"
"8098","1","1,4,"
"8087","1","23,"
"8096","1","26,35,"
"8103","1","21,27,"
"8097","1","1,4,20,"
"8095","1","1,4,20,"
"8105","1","26,35,"
"8110","1","23,"
"8099","1","1,4,20,31,32,"
"8111","1","21,27,"
"8107","1","26,35,"
"8116","2","31,32,"
"8089","7","23,"
"8092","1","31,32,"
"8104","1","1,4,"
"8090","7","23,"
"8117","3","1,15,"
"8100","2","16,20,"
"8065","2","21,27,"
"8109","2","23,"
"8119","1","1,4,"
"8112","1","31,32,"
"8115","1","26,35,"
"8121","1","1,4,"
"8113","1","21,27,"
"8118","1","21,27,"
"8072","2","31,32,"
"8124","1","1,4,"
"8123","1","23,35,"
"8128","1","1,4,"
"8132","1","23"
"8129","1","21,26,"
"8127","1","31,35,"
"8131","2","23,"
"8120","1","21,26,"
"8136","1","4,15,"
"8137","1","23,"
"8139","1","23,"
"8126","1","31,32,"
"8141","3","21,26,"
"8060","11","1,4,20,21,31,32,35,"
"8060","1","1,4,15,16,20,31,32,35,"
"8142","1","31,32,"
"8144","1","20,23,"
"8122","1","31,32,"
"8102","2","1,31,32,"
"8146","1","4"
"8051","2","28,"
"8148","1","4,"
"8151","1","20,23,"
"8125","1","31,32,"
"8155","1","31,32,"
"8152","1","4,"
"8157","1","4,"
"8160","1","15,"
"8161","1","21,26,27,"
"8159","1","31,32,"
"8165","1","20,23"
"8166","1","4,"
"8170","1","15,"
"8153","1","30,43,"
"8164","3","35,"
"8177","1","4,"
"8178","1","15,"
"8154","1","30,43,"
"8168","1","23,26"
"8168","1","23,26"
"7984","7","15,"
"8174","1","20,21,"
"8175","1","4"
"8179","1","23,26,"
"8189","1","20,21,"
"8176","1","15,32,35,"
"8176","11","15,32,35,"
"8184","1","23,26,"
"8173","1","1,31,"
"8196","1","15,"
"8193","1","35,"
"8192","1","4"
"8192","1","4"
"8187","1","23,26,"
"8050","2","27,29,"
"8201","1","1,31,"
"8201","11","1,31,"
"8197","1","35,"
"8198","1","4,"
"8211","1","23,26,"
"8210","1","4"
"8167","2","27,29,"
"8204","1","1,31,"
"8180","1","27,29,"
"8209","1","20,21,"
"8212","1","23,26,"
"8218","1","15,"
"8225","1","23,26"
"8205","1","15,"
"8219","1","23,26,"
"8190","1","35,"
"8217","1","15,"
"8186","3","27,29,"
"8223","1","1,31,"
"8216","1","23,26,"
"8130","1","20,21,"
"8221","1","23,26,"
"8191","1","15,16,31,32,"
"8149","2","27,29,"
"8243","1","23,26,"
"8229","1","20,21,"
"8226","1","1,31,"
"8235","1","1,31,"
"8220","1","15,"
"8046","2","35,"
"8143","7","35,"
"8240","1","23,26,"
"8248","1","15,"
"8232","1","20,21,"
"8239","1","23,"
"8249","1","15,"
"8245","1","1,31,"
"8237","1","15,"
"8231","1","23,26,"
"8233","1","35,"
"8214","1","15,"
"8214","11","15,"
"8267","1","15,"
"8261","1","1,31,"
"8254","1","23,26,"
"8247","1","35,"
"8238","1","23,26,"
"8234","1","20,21,"
"8263","1","15,"
"8273","1","35,"
"8246","1","23,26,"
"8262","1","1,31,"
"8265","1","15,"
"8156","2","30,43,"
"8266","1","15,"
"8272","1","20,21,"
"8275","1","1,31,"
"8262","11","1,31,"
"8241","1","23,26,"
"8251","3","35,"
"8256","1","23,26,"
"8271","1","30,43,"
"8264","1","15,"
"8259","1","23,26"
"8285","1","1,31,"
"8277","1","30,43,"
"8085","2","27,29,"
"8199","2","15,"
"8288","1","23,26,27,"
"8274","2","30,43,"
"8242","2","27,29,"
"8227","11","20,21,"
"8252","1","15"
"8276","1","20,21,"
"8289","1","1,31,"
"8287","1","30,43,"
"8270","1","15,"
"8292","1","15,"
"8281","1","27,29,"
"8244","1","30,43,"
"8258","1","20,35,"
"8295","1","1,31,"
"8306","1","4"
"8305","1","21,"
"8308","1","4,"
"8309","1","15,"
"8284","1","23,26,27"
"8255","11","15,16,32,"
"8188","1","4,"
"8303","1","4"
"8286","1","30,43,"
"8307","1","21,"
"8291","11","1,31,"
"8299","1","23,26,27,"
"8206","1","15,20,35,"
"8302","2","21,"
"8278","1","15,"
"8278","11","15,"
"8293","1","30,43,"
"8172","1","31,32,"
"8230","11","4,30,43,"
"8290","1","23,26,27"
"8290","1","23,26,27"
"8230","1","4,30,43,"
"8228","11","4,30,43,"
"8228","1","4,30,43,"
"8313","2","15,"
"8297","4","30,43,"
"8314","2","15,"
"8317","1","21,"
"8318","1","23,26,"
"8320","1","30,43,"
"8191","11","15,16,31,32,"
"8327","1","23,26,27"
"8300","2","15,"
"8169","2","31,32,"
"8328","1","23,26,"
"8315","2","20,35,"
"8321","1","30,43,"
"8336","1","30,43,"
"8304","1","30,43,"
"8335","1","15"
"8329","1","20,35"
"8338","1","21,"
"8213","2","31,32,"
"8330","1","4,"
"8269","2","23,26,"
"8339","1","4,"
"8349","2","23,26,"
"8294","2","15,27,"
"8250","2","30,43,"
"8337","1","15,27,"
"8337","1","15"
"8352","2","30,43,"
"8227","1","20,21,"
"8347","1","23,26"
"8357","1","30,43,"
"8359","1","23,26,"
"8354","1","20,35,"
"8333","2","4,"
"8348","1","4"
"8344","1","4,20,21,31,32,35,"
"8343","1","20,31,"
"8344","11","4,20,21,31,32,35,"
"8366","1","23"
"8364","2","4,"
"8350","2","20,31,"
"8360","1","23,"
"8370","1","4,"
"8362","2","21,27,"
"8356","1","32,35,"
"8356","11","32,35,"
"8358","1","23"
"8365","1","20,31,"
"8331","1","23,"
"8373","1","4"
"8367","1","20,31,"
"8341","1","30,43,"
"8371","1","21,27,"
"8368","1","21,27,"
"8361","2","30,43,"
"8378","1","4,20,31,"
"8374","2","21,27,"
"8310","11","4,"
"8363","1","20,31,"
"8375","1","21,27,"
"8372","1","4"
"8372","1","4"
"8372","8","4,"
"8380","2","20,31,"
"8340","7","35,"
"8389","1","21,27,"
"8390","1","20,31,"
"8393","1","21,27,"
"8332","1","16,32,35,"
"8332","11","16,32,35,"
"8345","11","35,"
"8345","1","35,"
"8355","2","21,27,"
"8396","4","35,"
"8369","2","21,27,"
"8386","1","20,31,"
"8400","3","21,27,"
"8351","1","21,27,"
"8403","1","21,27,"
"8404","1","21,27"
"8402","1","20,31,"
"8401","1","32,35,"
"8381","1","20,35,"
"8385","2","31,32,"
"8405","1","31,32,"
"8397","1","31,32,"
"8406","2","4,"
"8392","1","21,27,"
"8379","2","31,32,"
"8408","1","20,35,"
"8399","1","20,32,35,"
"8407","1","30,43,"
"8257","2","16,20,"
"8412","1","4"
"8382","2","21,26,"
"8415","1","4,"
"8421","1","27,35,"
"8414","4","21,26,"
"8383","2","31,32,"
"8420","1","4,"
"8427","1","21,26,"
"8224","2","4,"
"8428","1","27,35,"
"8429","1","31,32,"
